# Image list with two lines of data per image:
#   IMAGE_ID, QW, QX, QY, QZ, TX, TY, TZ, CAMERA_ID, NAME
#   POINTS2D[] as (X, Y, POINT3D_ID)
# Number of images: 570, mean observations per image: 0.0
0 0.493954 0.657527 -0.447984 0.350683 1.31906 1.91455 -1.16966 1 frame_000000.jpg

1 0.498569 0.656885 -0.444842 0.349353 1.31077 1.90463 -1.19473 1 frame_000010.jpg

2 0.501271 0.660694 -0.441968 0.34187 1.29367 1.90961 -1.2128 1 frame_000020.jpg

3 0.503807 0.660482 -0.439397 0.341867 1.28161 1.90734 -1.23216 1 frame_000030.jpg

4 0.505321 0.658925 -0.437621 0.3449 1.27527 1.90479 -1.24866 1 frame_000040.jpg

5 0.510727 0.660183 -0.424388 0.351016 1.22284 1.9168 -1.30896 1 frame_000050.jpg

6 0.543835 0.640191 -0.408213 0.357436 1.20526 1.82479 -1.4902 1 frame_000060.jpg

7 0.566041 0.603415 -0.408052 0.38598 1.26865 1.70397 -1.59821 1 frame_000070.jpg

8 0.554154 0.578926 -0.434986 0.410542 1.40335 1.67823 -1.52202 1 frame_000080.jpg

9 0.503974 0.580216 -0.478751 0.424451 1.54932 1.78954 -1.26604 1 frame_000090.jpg

10 0.467063 0.605068 -0.498048 0.409504 1.60267 1.91086 -1.12375 1 frame_000100.jpg

11 0.465249 0.635106 -0.496379 0.365777 1.64609 1.96712 -1.1845 1 frame_000110.jpg

12 0.455969 0.661851 -0.498888 0.32428 1.72852 2.05968 -1.20351 1 frame_000120.jpg

13 0.460113 0.678335 -0.490995 0.295095 1.7688 2.12586 -1.31915 1 frame_000130.jpg

14 0.441026 0.682851 -0.498492 0.301191 1.86362 2.20845 -1.2931 1 frame_000140.jpg

15 0.41813 0.68258 -0.513682 0.308841 1.9791 2.27684 -1.24434 1 frame_000150.jpg

16 0.388241 0.68488 -0.545636 0.287211 2.14735 2.3354 -1.13698 1 frame_000160.jpg

17 0.329626 0.685755 -0.594927 0.259131 2.37736 2.41909 -0.792203 1 frame_000170.jpg

18 0.306808 0.669697 -0.626715 0.254172 2.58273 2.38738 -0.664222 1 frame_000180.jpg

19 -0.283255 -0.637461 0.663599 -0.270271 2.8307 2.27987 -0.493931 1 frame_000190.jpg

20 -0.262637 -0.590943 0.706263 -0.288098 3.13238 2.06824 -0.295475 1 frame_000200.jpg

21 -0.235878 -0.53766 0.753196 -0.296613 3.42028 1.78341 -0.00357564 1 frame_000210.jpg

22 -0.212026 -0.489978 0.782886 -0.319463 3.58714 1.58186 0.274732 1 frame_000220.jpg

23 -0.203557 -0.444537 0.802753 -0.341379 3.71494 1.38515 0.418063 1 frame_000230.jpg

24 -0.196929 -0.404344 0.81141 -0.373282 3.80545 1.28087 0.521381 1 frame_000240.jpg

25 -0.186332 -0.366925 0.820464 -0.396844 3.89234 1.1921 0.662384 1 frame_000250.jpg

26 -0.182001 -0.350444 0.822379 -0.409582 3.96733 1.19883 0.717917 1 frame_000260.jpg

27 -0.195514 -0.343143 0.811397 -0.430885 4.06517 1.25494 0.600464 1 frame_000270.jpg

28 -0.202641 -0.332963 0.797774 -0.460032 4.1776 1.31734 0.540337 1 frame_000280.jpg

29 -0.215858 -0.329634 0.787231 -0.474356 4.33215 1.34292 0.413833 1 frame_000290.jpg

30 -0.24218 -0.337842 0.773106 -0.479082 4.47753 1.37822 0.120999 1 frame_000300.jpg

31 -0.260199 -0.334423 0.754547 -0.501115 4.57589 1.41529 -0.0959698 1 frame_000310.jpg

32 -0.296237 -0.310202 0.722933 -0.541651 4.68004 1.28945 -0.4261 1 frame_000320.jpg

33 -0.339009 -0.306209 0.671652 -0.58326 4.72214 1.26013 -0.969431 1 frame_000330.jpg

