# 3D point list with one line of data per point:
#   POINT3D_ID, X, Y, Z, R, G, B, ERROR, TRACK[] as (IMAGE_ID, POINT2D_IDX)
# Number of points: 74648, mean track length: 0.0
58043 4.207090073362804 2.120792934803034 0.8095529699353305 83 87 90 1.1453637537644619 
58038 4.700277092333637 2.302683938561368 1.1591201903654962 136 140 103 0.16730272533134627 
58031 4.725647553024364 1.7485670463329646 1.2530129456958858 146 146 136 0.588030592190939 
58025 3.8420723000844883 2.330624364290651 0.8042717008765933 128 100 74 0.40015580854385524 
58024 3.6018608021030336 2.174105754429129 0.9340850850780604 83 89 86 2.8678490065413866 
58015 4.364910375111479 2.0048065499415166 0.7880107681013413 58 58 49 1.6661816571360695 
58013 4.489658401393519 2.2180452262072103 0.8364364308457819 176 175 157 0.5471632068325086 
58009 4.721329112445258 2.5294665763537765 0.9863740315256633 122 121 118 1.1071417803771297 
58001 4.915805799546522 0.7158987809687534 1.0790466409786035 130 131 125 2.040982045894378 
57999 4.773879086302137 0.8622308428002756 1.2065525458570119 182 174 162 0.8534010806872612 
57991 3.717006323305146 2.0908698333382274 0.7860119857978928 38 29 20 1.565475998315839 
57989 3.7694451899729495 2.0758646443162876 0.7855436343110892 89 80 50 1.3084375542045699 
57987 4.001349833927304 2.1917329235917875 0.8119012146305498 195 197 194 0.5764703882359252 
57980 4.393568348549505 2.0712305285413706 0.7800401755498849 133 131 110 0.5371350368934278 
57977 4.955082883145768 2.5617337149016866 0.8227437044193877 138 140 137 0.4525592362763018 
57976 4.786569334274985 2.5251555159462664 0.9298709593963755 40 39 37 0.537869206082214 
57963 3.887340079775121 2.4301468816671092 0.8516970590505577 0 0 0 1.7404187676130103 
57961 4.110144990324305 2.321808020976742 0.8198682236101659 23 31 33 0.7666617275482042 
57959 4.051269313078071 2.2039434931901063 0.8297796101091308 53 68 67 0.8717805421601953 
57924 4.269132937606691 2.1641709926695962 0.802480777863837 69 70 73 1.4768844102453207 
57923 4.269826094429724 2.1794147038166205 0.8280250583253955 44 48 51 0.6142357364628991 
57921 4.324777838027378 2.163807247995318 0.8025010976141977 74 70 43 0.29356357953156653 
57920 4.358757057262704 2.104738605881874 0.8060029761713737 130 128 107 0.024503891871186474 
57913 4.732818248230841 2.3844048584169535 0.8163400342223657 194 188 162 0.3048355063211716 
57906 3.8111186743734584 2.2676978325041564 0.8034506704371742 0 13 85 0.26527234476888856 
57896 4.537354094468244 2.152061649021452 0.8765765166195639 104 102 77 0.197976559826001 
57891 4.460742039836622 1.9644893332199487 0.8026500592917433 166 162 144 0.9825554224834491 
57880 4.778714394522431 2.4311153367238525 0.9369249232260691 154 158 166 1.6022130199155709 
57879 3.809650868003563 2.1000969413632817 0.7956706827117201 141 138 117 1.6294303072980867 
57872 4.257628561753399 2.103260276949764 0.7899644659606763 91 98 113 1.7256847891303373 
57869 4.026078863199227 2.6667690797542827 0.7970926177856943 111 117 131 1.6966264102926152 
57855 3.7591928831532555 2.3254555147275715 0.8031272935364762 132 106 91 1.503748223057855 
57851 4.679952637936118 2.8589544963086513 0.6792852932144658 2 1 0 1.7468614240780846 
57849 4.6837249432172126 2.809343453958539 0.8059997359101817 37 41 42 0.8554400191574842 
57848 3.802362338294331 2.0830118145281755 0.9221762695530074 55 60 63 1.4981910175716437 
57839 4.690489153587141 2.5246213128527244 0.8962416738313586 63 67 66 1.5099462215035586 
57825 3.7554258577652395 2.3232561309327835 0.7769934902973711 127 103 72 1.4732717624618648 
57823 4.151770713299829 2.343883800823046 0.8406245469422053 183 178 151 0.9895739814386414 
57821 4.795166798916419 2.9527296768109945 0.9297457491172738 114 124 134 1.5942987831185647 
57817 4.788844802617123 2.400783631322223 1.0469414840013096 235 235 237 2.2315911999346185 
57801 5.009664065561042 2.7415427469437352 0.9953448310167612 97 101 102 1.5638116850657193 
57782 4.962864719495977 2.716877949199107 0.9513400922854116 185 210 230 1.2574941287525048 
57780 5.835745193581033 2.101008454270576 0.6967335300977083 241 240 238 2.8661636443702516 
