# Image list with two lines of data per image:
#   IMAGE_ID, QW, QX, QY, QZ, TX, TY, TZ, CAMERA_ID, NAME
#   POINTS2D[] as (X, Y, POINT3D_ID)
# Number of images: 758, mean observations per image: 0.0
0 0.0283346 0.0978802 0.871628 -0.47946 5.07884 -0.812984 3.51678 1 frame_000000.jpg

1 0.0307956 0.0981138 0.872592 -0.477502 5.06183 -0.815097 3.5359 1 frame_000010.jpg

2 0.0334592 0.0994121 0.873118 -0.476092 5.03929 -0.820214 3.56166 1 frame_000020.jpg

3 0.0324958 0.0982378 0.871841 -0.478735 5.04946 -0.794847 3.54842 1 frame_000030.jpg

4 0.0328411 0.0977699 0.872055 -0.478416 5.04962 -0.790322 3.54674 1 frame_000040.jpg

5 0.032106 0.0969159 0.873675 -0.475678 5.05568 -0.80621 3.52985 1 frame_000050.jpg

6 0.0292392 0.0955472 0.874601 -0.474436 5.07703 -0.819699 3.492 1 frame_000060.jpg

7 0.0285865 0.0920722 0.87551 -0.473485 5.09799 -0.799753 3.4646 1 frame_000070.jpg

8 0.0275011 0.0897529 0.878168 -0.469052 5.11327 -0.817927 3.43299 1 frame_000080.jpg

9 0.0276469 0.0872185 0.881274 -0.463665 5.1239 -0.833558 3.41017 1 frame_000090.jpg

10 0.0300504 0.0873713 0.885017 -0.456298 5.10892 -0.875977 3.419 1 frame_000100.jpg

11 0.0288936 0.0861466 0.887243 -0.452265 5.12133 -0.901071 3.39502 1 frame_000110.jpg

12 0.0277072 0.085179 0.889329 -0.448408 5.13179 -0.927826 3.37319 1 frame_000120.jpg

13 0.0316633 0.0844034 0.891267 -0.444429 5.11472 -0.930141 3.39963 1 frame_000130.jpg

14 0.0316766 0.0817464 0.89288 -0.441677 5.12766 -0.928003 3.38101 1 frame_000140.jpg

15 0.0279785 0.0821803 0.892129 -0.443362 5.14768 -0.945872 3.33982 1 frame_000150.jpg

16 0.0333004 0.0827226 0.886193 -0.454654 5.12523 -0.849556 3.39836 1 frame_000160.jpg

17 0.0306229 0.0822389 0.885463 -0.456349 5.14448 -0.850562 3.36388 1 frame_000170.jpg

